"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\NavLinks.css", "CSS", 0, 0, 0, 0, 79, 2, 12, 93
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\NavLinks.js", "JavaScript", 0, 67, 0, 0, 0, 0, 11, 78
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\SideDrawer.css", "CSS", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\SideDrawer.js", "JavaScript", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\settings\settings.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\context\auth-context.js", "JavaScript", 0, 9, 0, 0, 0, 1, 2, 12
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\hooks\form-hook.js", "JavaScript", 0, 54, 0, 0, 0, 0, 5, 59
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\util\validators.js", "JavaScript", 0, 46, 0, 0, 0, 0, 3, 49
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeList.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeList.js", "JavaScript", 0, 92, 0, 0, 0, 5, 8, 105
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeListItem.css", "CSS", 0, 0, 0, 0, 54, 0, 10, 64
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeListItem.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\EditStartupChallenge.js", "JavaScript", 0, 260, 0, 0, 0, 2, 18, 280
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\NewStartupChallenge.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\NewStartupChallenge.js", "JavaScript", 0, 100, 0, 0, 0, 1, 14, 115
